Fecha,Sin indexar,Indexadas,Impresiones
2026-03-18,,,581
2026-03-19,,,437
2026-03-20,18085,294,294
2026-03-21,17059,285,221
2026-03-22,17059,285,516
2026-03-23,17059,285,381
2026-03-24,14560,276,537
2026-03-25,14560,276,558
2026-03-26,14560,276,442
2026-03-27,14560,276,305
2026-03-28,13583,260,185
2026-03-29,13583,260,425
2026-03-30,13583,260,545
2026-03-31,13016,249,554
2026-04-01,13016,249,439
2026-04-02,13016,249,452
2026-04-03,13016,249,441
2026-04-04,12167,244,338
2026-04-05,12167,244,620
2026-04-06,11405,233,618
2026-04-07,11405,233,702
2026-04-08,11405,233,685
2026-04-09,11405,233,763
2026-04-10,11182,216,544
2026-04-11,11182,216,374
2026-04-12,11182,216,752
